contact_id,sessions,engaged_sessions,page_views,is_first_visit,is_won
HS_000001,7,4,21,1,0
HS_000002,4,1,12,1,1
HS_000003,13,5,39,1,1
HS_000004,11,6,22,1,1
HS_000005,8,5,32,0,0
HS_000006,13,10,65,0,0
HS_000007,5,1,35,1,0
HS_000008,7,4,42,1,1
HS_000009,10,3,30,1,1
HS_000010,3,2,9,0,1
HS_000011,7,1,14,1,0
HS_000012,11,5,22,1,1
HS_000013,11,2,22,1,1
HS_000014,8,2,16,1,0
HS_000015,5,3,20,1,0
HS_000016,4,1,16,1,0
HS_000017,8,5,48,1,0
HS_000018,8,3,40,1,1
HS_000019,3,0,21,1,0
HS_000020,6,2,18,1,0
HS_000021,5,3,10,0,1
HS_000022,2,1,6,1,0
HS_000023,8,3,56,0,0
HS_000024,12,1,36,1,0
HS_000025,14,2,42,1,0
HS_000026,6,4,30,1,1
HS_000027,2,1,10,0,0
HS_000028,12,3,60,0,1
HS_000029,5,2,20,0,1
HS_000030,1,0,3,1,0
HS_000031,12,5,84,1,1
HS_000032,10,7,20,1,0
HS_000033,6,2,12,1,0
HS_000034,13,8,52,1,1
HS_000035,12,5,48,1,1
HS_000036,9,4,63,1,1
HS_000037,1,0,6,0,0
HS_000038,11,5,77,1,0
HS_000039,11,5,66,1,1
HS_000040,10,3,50,1,0
HS_000041,12,10,48,0,0
HS_000042,12,9,48,1,0
HS_000043,14,7,84,1,0
HS_000044,14,1,70,1,1
HS_000045,14,3,98,0,0
HS_000046,3,2,21,1,1
HS_000049,12,10,36,1,0
HS_000050,7,1,14,0,1
HS_000051,4,2,12,0,1
HS_000052,9,5,36,1,0
HS_000053,3,1,21,1,1
HS_000054,5,2,15,1,1
HS_000055,3,1,21,1,1
HS_000056,7,1,42,0,1
HS_000057,5,1,30,1,1
HS_000058,9,1,27,1,1
HS_000059,7,5,49,0,0
HS_000060,2,1,6,1,0
HS_000061,4,2,24,1,0
HS_000062,9,5,45,0,0
HS_000063,12,10,60,1,0
HS_000064,14,3,56,1,0
HS_000065,2,0,4,0,1
HS_000066,10,3,60,0,0
HS_000067,9,7,27,1,0
HS_000068,10,4,20,0,1
HS_000069,5,3,35,1,0
HS_000070,2,0,8,0,1
HS_000072,4,1,16,0,0
HS_000073,12,2,24,0,1
HS_000074,12,5,72,1,1
HS_000075,7,2,28,1,0
HS_000076,12,6,84,1,0
HS_000077,13,9,65,0,1
HS_000078,8,6,24,0,1
HS_000079,3,0,6,0,1
HS_000081,14,9,28,0,1
HS_000082,1,0,5,1,0
HS_000083,4,0,28,0,0
HS_000084,2,1,8,0,0
HS_000085,8,4,56,1,1
HS_000086,4,1,16,0,1
HS_000087,2,0,8,1,0
HS_000088,14,4,28,0,0
HS_000089,6,3,18,0,0
HS_000090,6,1,12,1,0
HS_000091,10,3,70,1,1
HS_000092,4,2,28,0,1
HS_000093,6,2,12,1,1
HS_000094,13,1,65,1,0
HS_000095,2,0,14,1,0
HS_000096,10,8,50,1,1
HS_000097,12,3,60,1,1
HS_000098,2,0,6,1,1
HS_000099,10,2,60,1,1
HS_000100,14,4,70,1,0
HS_000102,4,2,16,1,1
HS_000103,14,12,28,0,0
HS_000104,8,4,48,1,0
HS_000105,14,5,70,1,0
HS_000106,7,2,42,1,0
HS_000107,12,1,60,1,1
HS_000108,9,0,18,1,0
HS_000109,14,10,28,1,1
HS_000110,8,3,32,1,1
HS_000111,5,0,15,0,0
