date,channel_group,device_category,sessions,engaged_sessions,bounce_rate,avg_session_duration_sec,pages_per_session,new_users,conversions,revenue,conversion_rate
2024-07-16,organic_search,mobile,291,162,44.0,170.0,5.2,223,8,1597.29,2.75
2024-07-16,organic_search,desktop,180,101,43.6,193.0,1.9,137,3,435.76,1.67
2024-07-16,organic_search,tablet,68,35,48.4,158.0,4.5,51,1,93.14,1.47
2024-07-16,paid_search,mobile,321,209,34.6,72.0,4.1,211,8,1627.13,2.49
2024-07-16,paid_search,desktop,175,109,37.3,218.0,3.0,93,7,1404.21,4.0
2024-07-16,paid_search,tablet,68,44,34.0,152.0,2.6,52,2,234.09,2.94
2024-07-16,paid_social,mobile,332,154,53.5,110.0,5.0,174,4,691.47,1.2
2024-07-16,paid_social,desktop,127,52,58.3,90.0,2.4,76,2,291.91,1.57
2024-07-16,paid_social,tablet,39,15,60.8,167.0,1.2,29,0,0.0,0.0
2024-07-16,direct,mobile,243,179,26.2,188.0,5.0,185,10,1482.23,4.12
2024-07-16,direct,desktop,130,94,27.6,244.0,1.7,65,3,561.7,2.31
2024-07-16,direct,tablet,47,33,29.0,122.0,5.4,37,1,106.37,2.13
2024-07-16,email,mobile,129,92,28.5,95.0,4.8,78,4,798.51,3.1
2024-07-16,email,desktop,75,53,28.3,74.0,1.4,57,2,437.71,2.67
2024-07-16,email,tablet,27,20,24.4,136.0,3.4,18,0,0.0,0.0
2024-07-16,referral,mobile,109,46,56.9,100.0,3.0,62,2,255.03,1.83
2024-07-16,referral,desktop,59,26,55.1,145.0,2.9,40,1,167.89,1.69
2024-07-16,referral,tablet,21,9,53.6,170.0,1.6,11,0,0.0,0.0
2024-07-16,organic_social,mobile,84,32,61.1,47.0,1.8,53,1,105.86,1.19
2024-07-16,organic_social,desktop,46,15,66.4,53.0,1.7,24,0,0.0,0.0
2024-07-16,organic_social,tablet,13,5,55.8,61.0,3.0,7,0,0.0,0.0
2024-07-17,organic_search,mobile,576,290,49.6,147.0,3.2,304,11,2130.98,1.91
2024-07-17,organic_search,desktop,350,213,39.1,151.0,3.9,268,7,653.52,2.0
2024-07-17,organic_search,tablet,99,48,51.2,142.0,3.0,66,2,243.46,2.02
2024-07-17,paid_search,mobile,401,239,40.3,75.0,1.4,262,9,1660.9,2.24
2024-07-17,paid_search,desktop,256,172,32.7,61.0,4.2,144,8,1238.72,3.12
2024-07-17,paid_search,tablet,82,52,35.8,208.0,4.5,44,2,409.72,2.44
2024-07-17,paid_social,mobile,252,109,56.7,103.0,2.8,165,4,829.08,1.59
2024-07-17,paid_social,desktop,259,126,51.2,195.0,3.3,189,5,777.94,1.93
2024-07-17,paid_social,tablet,46,18,59.9,61.0,4.0,24,0,0.0,0.0
2024-07-17,direct,mobile,235,172,26.6,108.0,2.0,140,5,863.34,2.13
2024-07-17,direct,desktop,183,128,30.0,138.0,4.7,93,5,746.45,2.73
2024-07-17,direct,tablet,64,46,27.7,113.0,3.9,46,2,273.41,3.12
2024-07-17,email,mobile,186,139,24.7,231.0,3.0,135,5,1046.8,2.69
2024-07-17,email,desktop,108,79,26.7,64.0,5.4,81,4,578.03,3.7
2024-07-17,email,tablet,41,31,23.5,232.0,5.3,23,1,160.25,2.44
2024-07-17,referral,mobile,143,66,53.4,77.0,3.9,108,2,274.09,1.4
2024-07-17,referral,desktop,105,49,52.6,197.0,3.6,65,1,172.55,0.95
2024-07-17,referral,tablet,30,13,55.0,112.0,4.5,20,0,0.0,0.0
2024-07-17,organic_social,mobile,69,25,62.4,201.0,1.4,54,0,0.0,0.0
2024-07-17,organic_social,desktop,48,20,57.8,79.0,4.9,34,0,0.0,0.0
2024-07-17,organic_social,tablet,20,9,52.9,92.0,1.8,12,0,0.0,0.0
2024-07-18,organic_search,mobile,605,333,44.8,221.0,1.5,330,14,2394.53,2.31
2024-07-18,organic_search,desktop,238,144,39.4,154.0,2.6,147,5,560.52,2.1
2024-07-18,organic_search,tablet,110,65,40.4,153.0,4.2,81,2,231.98,1.82
2024-07-18,paid_search,mobile,388,224,42.0,94.0,4.0,307,14,1427.73,3.61
2024-07-18,paid_search,desktop,226,147,34.9,188.0,1.5,114,8,863.57,3.54
2024-07-18,paid_search,tablet,67,40,39.8,73.0,3.4,39,1,186.94,1.49
2024-07-18,paid_social,mobile,398,159,60.0,192.0,2.8,255,5,534.82,1.26
2024-07-18,paid_social,desktop,176,64,63.2,131.0,4.4,110,3,240.85,1.7
2024-07-18,paid_social,tablet,60,28,53.0,125.0,3.3,34,0,0.0,0.0
2024-07-18,direct,mobile,337,226,32.6,73.0,4.5,224,12,2479.77,3.56
2024-07-18,direct,desktop,154,112,26.7,216.0,4.1,81,4,799.54,2.6
2024-07-18,direct,tablet,66,47,28.2,79.0,4.1,33,2,384.87,3.03
2024-07-18,email,mobile,146,107,26.7,104.0,3.1,76,4,568.36,2.74
2024-07-18,email,desktop,141,110,21.8,143.0,5.0,78,7,1209.36,4.96
2024-07-18,email,tablet,30,23,22.3,88.0,4.9,20,1,218.14,3.33
2024-07-18,referral,mobile,95,41,56.7,129.0,2.1,58,2,418.97,2.11
2024-07-18,referral,desktop,91,47,48.2,84.0,2.8,71,2,382.76,2.2
2024-07-18,referral,tablet,20,10,47.7,113.0,1.7,10,0,0.0,0.0
2024-07-18,organic_social,mobile,100,43,56.4,144.0,1.9,75,0,0.0,0.0
2024-07-18,organic_social,desktop,52,23,55.1,196.0,4.3,30,0,0.0,0.0
2024-07-18,organic_social,tablet,12,5,52.5,116.0,1.4,8,0,0.0,0.0
2024-07-19,organic_search,mobile,396,231,41.4,48.0,3.0,208,7,1306.78,1.77
2024-07-19,organic_search,desktop,315,179,42.9,155.0,2.3,229,5,722.68,1.59
2024-07-19,organic_search,tablet,80,41,48.4,145.0,2.0,59,2,403.39,2.5
2024-07-19,paid_search,mobile,450,254,43.4,139.0,3.9,357,10,1627.72,2.22
2024-07-19,paid_search,desktop,249,149,40.1,112.0,1.5,145,7,852.99,2.81
2024-07-19,paid_search,tablet,56,34,37.5,147.0,3.2,31,1,187.13,1.79
2024-07-19,paid_social,mobile,419,216,48.3,79.0,2.6,211,9,1319.85,2.15
2024-07-19,paid_social,desktop,176,83,52.3,164.0,4.5,118,3,294.38,1.7
2024-07-19,paid_social,tablet,55,28,48.8,159.0,3.1,29,0,0.0,0.0
2024-07-19,direct,mobile,237,159,32.8,251.0,4.6,136,8,1718.37,3.38
2024-07-19,direct,desktop,154,111,27.8,198.0,5.3,114,6,761.69,3.9
2024-07-19,direct,tablet,55,40,27.0,249.0,5.1,30,1,148.94,1.82
2024-07-19,email,mobile,167,124,25.7,130.0,5.3,131,6,580.26,3.59
2024-07-19,email,desktop,126,93,26.0,63.0,2.3,63,4,735.49,3.17
2024-07-19,email,tablet,32,23,27.6,206.0,2.5,20,1,173.49,3.12
2024-07-19,referral,mobile,153,76,50.0,85.0,1.6,98,2,367.44,1.31
2024-07-19,referral,desktop,63,30,51.9,216.0,4.4,33,1,115.94,1.59
2024-07-19,referral,tablet,28,14,47.8,73.0,3.8,21,0,0.0,0.0
2024-07-19,organic_social,mobile,86,40,52.4,45.0,2.5,50,0,0.0,0.0
2024-07-19,organic_social,desktop,46,17,62.7,83.0,4.0,35,0,0.0,0.0
2024-07-19,organic_social,tablet,21,6,66.9,53.0,3.0,10,0,0.0,0.0
2024-07-20,organic_search,mobile,625,355,43.1,125.0,1.8,356,19,3576.5,3.04
2024-07-20,organic_search,desktop,338,170,49.5,73.0,1.4,195,10,985.03,2.96
2024-07-20,organic_search,tablet,104,61,40.9,110.0,3.8,67,2,284.99,1.92
2024-07-20,paid_search,mobile,346,207,40.2,232.0,4.2,216,9,1530.41,2.6
2024-07-20,paid_search,desktop,281,164,41.5,130.0,4.5,165,8,1429.75,2.85
2024-07-20,paid_search,tablet,88,53,38.9,116.0,1.9,45,2,277.42,2.27
2024-07-20,paid_social,mobile,309,141,54.3,145.0,1.8,174,5,409.74,1.62
2024-07-20,paid_social,desktop,170,75,55.3,122.0,1.9,107,2,231.78,1.18
2024-07-20,paid_social,tablet,57,22,60.9,130.0,3.3,44,1,219.0,1.75
2024-07-20,direct,mobile,271,188,30.5,67.0,4.6,215,8,1251.36,2.95
2024-07-20,direct,desktop,135,90,32.7,189.0,1.5,86,3,322.97,2.22
2024-07-20,direct,tablet,36,25,30.5,197.0,1.9,21,1,208.17,2.78
2024-07-20,email,mobile,242,177,26.7,135.0,3.8,177,10,1582.7,4.13
2024-07-20,email,desktop,95,67,28.5,56.0,3.6,58,3,428.05,3.16
2024-07-20,email,tablet,29,20,28.6,147.0,1.8,17,1,138.0,3.45
2024-07-20,referral,mobile,121,61,49.5,155.0,1.4,71,2,213.98,1.65
2024-07-20,referral,desktop,84,47,43.6,233.0,3.8,48,1,123.45,1.19
2024-07-20,referral,tablet,18,10,43.1,208.0,1.9,11,0,0.0,0.0
2024-07-20,organic_social,mobile,87,32,62.6,161.0,4.7,50,0,0.0,0.0
2024-07-20,organic_social,desktop,64,22,64.2,203.0,4.6,34,0,0.0,0.0
2024-07-20,organic_social,tablet,17,7,56.7,81.0,1.4,9,0,0.0,0.0
2024-07-21,organic_search,mobile,347,207,40.2,138.0,3.7,189,9,1658.81,2.59
2024-07-21,organic_search,desktop,272,141,47.9,81.0,3.6,202,6,773.0,2.21
2024-07-21,organic_search,tablet,85,51,39.8,139.0,2.4,66,2,179.99,2.35
2024-07-21,paid_search,mobile,439,268,38.8,77.0,4.1,284,15,2318.73,3.42
2024-07-21,paid_search,desktop,264,177,32.8,142.0,2.3,151,6,975.07,2.27
2024-07-21,paid_search,tablet,75,50,33.0,112.0,4.7,38,2,306.47,2.67
2024-07-21,paid_social,mobile,422,174,58.7,161.0,4.7,270,7,1465.98,1.66
2024-07-21,paid_social,desktop,214,95,55.5,159.0,3.6,166,2,414.38,0.93
2024-07-21,paid_social,tablet,81,40,49.4,128.0,5.0,61,1,161.19,1.23
2024-07-21,direct,mobile,322,228,28.9,103.0,3.2,181,12,1853.25,3.73
2024-07-21,direct,desktop,183,124,32.0,54.0,3.5,122,4,748.61,2.19
2024-07-21,direct,tablet,60,40,32.3,190.0,3.4,35,1,89.29,1.67
2024-07-21,email,mobile,161,125,22.1,155.0,3.8,98,5,720.94,3.11
2024-07-21,email,desktop,153,114,25.0,178.0,3.9,103,6,520.46,3.92
2024-07-21,email,tablet,43,31,27.0,118.0,2.7,29,2,176.64,4.65
2024-07-21,referral,mobile,130,59,54.2,95.0,1.9,72,2,222.05,1.54
2024-07-21,referral,desktop,71,40,42.7,51.0,2.8,54,1,135.94,1.41
2024-07-21,referral,tablet,24,10,57.3,77.0,2.3,17,0,0.0,0.0
2024-07-21,organic_social,mobile,124,42,65.9,99.0,1.5,73,1,91.92,0.81
2024-07-21,organic_social,desktop,52,21,58.0,95.0,2.2,30,0,0.0,0.0
2024-07-21,organic_social,tablet,16,7,55.4,63.0,3.0,8,0,0.0,0.0
2024-07-22,organic_search,mobile,299,173,42.1,197.0,2.9,211,5,904.78,1.67
2024-07-22,organic_search,desktop,214,127,40.5,56.0,3.9,154,5,789.89,2.34
2024-07-22,organic_search,tablet,79,47,39.6,226.0,4.4,59,1,90.26,1.27
2024-07-22,paid_search,mobile,291,179,38.3,210.0,2.9,174,8,1583.88,2.75
2024-07-22,paid_search,desktop,210,141,32.6,139.0,4.1,145,8,1139.8,3.81
2024-07-22,paid_search,tablet,45,25,43.1,153.0,3.5,29,1,153.64,2.22
2024-07-22,paid_social,mobile,329,161,50.8,83.0,4.1,184,4,840.55,1.22
2024-07-22,paid_social,desktop,211,84,59.8,56.0,2.8,146,4,852.55,1.9
2024-07-22,paid_social,tablet,55,27,50.7,200.0,3.2,36,1,110.94,1.82
2024-07-22,direct,mobile,200,147,26.4,152.0,4.4,121,6,838.46,3.0
2024-07-22,direct,desktop,130,86,33.7,212.0,5.4,101,5,416.0,3.85
2024-07-22,direct,tablet,47,32,31.2,192.0,2.5,27,1,171.62,2.13
2024-07-22,email,mobile,135,99,26.1,240.0,2.6,106,4,631.17,2.96
2024-07-22,email,desktop,90,70,22.0,109.0,4.9,64,2,254.83,2.22
2024-07-22,email,tablet,32,23,25.7,174.0,4.0,19,1,117.88,3.12
2024-07-22,referral,mobile,127,60,52.1,101.0,4.1,72,3,500.56,2.36
2024-07-22,referral,desktop,68,34,48.5,102.0,1.7,50,1,137.85,1.47
2024-07-22,referral,tablet,18,9,47.7,49.0,3.4,11,0,0.0,0.0
2024-07-22,organic_social,mobile,89,34,61.0,145.0,1.4,68,0,0.0,0.0
2024-07-22,organic_social,desktop,34,16,51.6,126.0,1.7,25,0,0.0,0.0
2024-07-22,organic_social,tablet,10,4,56.9,173.0,3.9,5,0,0.0,0.0
2024-07-23,organic_search,mobile,365,197,46.0,204.0,1.4,250,8,1000.37,2.19
2024-07-23,organic_search,desktop,215,113,47.2,153.0,5.1,170,4,453.65,1.86
2024-07-23,organic_search,tablet,55,33,39.6,195.0,3.4,35,1,138.8,1.82
2024-07-23,paid_search,mobile,314,208,33.7,214.0,1.9,185,11,1632.32,3.5
2024-07-23,paid_search,desktop,233,143,38.6,228.0,2.6,122,9,1588.18,3.86
2024-07-23,paid_search,tablet,62,36,41.5,222.0,2.0,42,2,322.28,3.23
2024-07-23,paid_social,mobile,189,96,49.1,178.0,5.0,97,3,584.91,1.59
2024-07-23,paid_social,desktop,153,77,49.4,89.0,2.9,82,1,117.02,0.65
2024-07-23,paid_social,tablet,46,17,61.9,175.0,2.6,32,0,0.0,0.0
2024-07-23,direct,mobile,249,180,27.4,55.0,4.0,175,10,1440.85,4.02
2024-07-23,direct,desktop,142,103,27.4,254.0,4.8,103,4,544.07,2.82
2024-07-23,direct,tablet,31,22,28.5,58.0,3.8,18,1,148.97,3.23
2024-07-23,email,mobile,149,117,21.3,161.0,4.7,105,5,938.07,3.36
2024-07-23,email,desktop,111,87,21.3,255.0,4.3,70,3,470.5,2.7
2024-07-23,email,tablet,20,15,24.9,139.0,2.7,10,0,0.0,0.0
2024-07-23,referral,mobile,73,37,49.1,174.0,1.4,47,1,157.75,1.37
2024-07-23,referral,desktop,78,39,49.3,116.0,1.7,41,1,148.15,1.28
2024-07-23,referral,tablet,14,6,54.4,185.0,3.8,10,0,0.0,0.0
