date,campaign_id,campaign_name,campaign_type,impressions,clicks,cost,conversions,conversion_value,ctr,avg_cpc,cost_per_conversion,roas
2024-07-16,C001,Brand - Olist,SEARCH,2589,106,76.47,2,213.04,4.13,0.72,38.23,2.79
2024-07-16,C002,Generic - Electronics,SEARCH,2057,82,54.68,1,244.88,4.01,0.67,54.68,4.48
2024-07-16,C003,Generic - Home & Garden,SEARCH,3358,104,51.19,2,338.42,3.1,0.49,25.59,6.61
2024-07-16,C004,Shopping - All Products,SHOPPING,4297,78,27.72,1,142.28,1.83,0.36,27.72,5.13
2024-07-16,C005,Display - Retargeting,DISPLAY,10904,60,8.82,0,0.0,0.56,0.15,8.82,0.0
2024-07-16,C006,YouTube - Brand Awareness,VIDEO,8942,93,7.28,0,0.0,1.04,0.08,7.28,0.0
2024-07-17,C001,Brand - Olist,SEARCH,3089,90,63.13,1,164.18,2.94,0.7,63.13,2.6
2024-07-17,C002,Generic - Electronics,SEARCH,2522,102,53.48,2,336.82,4.07,0.52,26.74,6.3
2024-07-17,C003,Generic - Home & Garden,SEARCH,3598,110,90.24,4,928.48,3.06,0.82,22.56,10.29
2024-07-17,C004,Shopping - All Products,SHOPPING,5928,138,33.12,1,135.31,2.34,0.24,33.12,4.09
2024-07-17,C005,Display - Retargeting,DISPLAY,13064,59,13.22,0,0.0,0.45,0.22,13.22,0.0
2024-07-17,C006,YouTube - Brand Awareness,VIDEO,8237,110,8.69,0,0.0,1.35,0.08,8.69,0.0
2024-07-18,C001,Brand - Olist,SEARCH,2461,97,68.96,3,277.76,3.94,0.71,22.99,4.03
2024-07-18,C002,Generic - Electronics,SEARCH,3202,94,72.94,2,181.61,2.96,0.78,36.47,2.49
2024-07-18,C003,Generic - Home & Garden,SEARCH,3103,101,72.76,3,480.83,3.26,0.72,24.25,6.61
2024-07-18,C004,Shopping - All Products,SHOPPING,4321,93,36.11,2,327.89,2.17,0.39,18.05,9.08
2024-07-18,C005,Display - Retargeting,DISPLAY,14190,68,8.54,0,0.0,0.49,0.13,8.54,0.0
2024-07-18,C006,YouTube - Brand Awareness,VIDEO,9330,112,15.7,0,0.0,1.2,0.14,15.7,0.0
2024-07-19,C001,Brand - Olist,SEARCH,2930,85,45.66,3,652.14,2.91,0.54,15.22,14.28
2024-07-19,C002,Generic - Electronics,SEARCH,3780,151,113.44,5,858.44,4.02,0.75,22.69,7.57
2024-07-19,C003,Generic - Home & Garden,SEARCH,4145,168,92.22,3,457.82,4.05,0.55,30.74,4.96
2024-07-19,C004,Shopping - All Products,SHOPPING,6668,152,33.75,3,353.27,2.29,0.22,11.25,10.47
2024-07-19,C005,Display - Retargeting,DISPLAY,10806,50,11.9,0,0.0,0.47,0.24,11.9,0.0
2024-07-19,C006,YouTube - Brand Awareness,VIDEO,9640,137,19.76,0,0.0,1.43,0.14,19.76,0.0
2024-07-20,C001,Brand - Olist,SEARCH,3048,86,57.65,1,127.37,2.85,0.67,57.65,2.21
2024-07-20,C002,Generic - Electronics,SEARCH,4357,136,64.85,5,605.75,3.14,0.48,12.97,9.34
2024-07-20,C003,Generic - Home & Garden,SEARCH,3861,149,76.81,3,562.48,3.87,0.52,25.6,7.32
2024-07-20,C004,Shopping - All Products,SHOPPING,6048,122,29.33,2,223.42,2.03,0.24,14.66,7.62
2024-07-20,C005,Display - Retargeting,DISPLAY,10142,52,10.69,0,0.0,0.52,0.21,10.69,0.0
2024-07-20,C006,YouTube - Brand Awareness,VIDEO,11414,119,14.79,0,0.0,1.04,0.12,14.79,0.0
2024-07-21,C001,Brand - Olist,SEARCH,3166,93,74.55,2,384.39,2.96,0.8,37.27,5.16
2024-07-21,C002,Generic - Electronics,SEARCH,4166,149,94.93,2,465.05,3.58,0.64,47.47,4.9
2024-07-21,C003,Generic - Home & Garden,SEARCH,4340,159,88.68,5,1162.54,3.69,0.56,17.74,13.11
2024-07-21,C004,Shopping - All Products,SHOPPING,6900,153,55.4,2,465.51,2.22,0.36,27.7,8.4
2024-07-21,C005,Display - Retargeting,DISPLAY,14894,59,7.96,0,0.0,0.4,0.13,7.96,0.0
2024-07-21,C006,YouTube - Brand Awareness,VIDEO,10807,139,16.88,0,0.0,1.29,0.12,16.88,0.0
2024-07-22,C001,Brand - Olist,SEARCH,2506,96,65.96,3,529.84,3.85,0.69,21.99,8.03
2024-07-22,C002,Generic - Electronics,SEARCH,2117,70,36.89,2,293.65,3.31,0.53,18.45,7.96
2024-07-22,C003,Generic - Home & Garden,SEARCH,3458,127,94.94,3,491.18,3.68,0.75,31.65,5.17
2024-07-22,C004,Shopping - All Products,SHOPPING,3660,79,22.31,2,220.22,2.18,0.28,11.15,9.87
2024-07-22,C005,Display - Retargeting,DISPLAY,14159,83,19.47,0,0.0,0.59,0.23,19.47,0.0
2024-07-22,C006,YouTube - Brand Awareness,VIDEO,8038,114,16.45,0,0.0,1.42,0.14,16.45,0.0
2024-07-23,C001,Brand - Olist,SEARCH,3389,109,53.09,4,793.3,3.24,0.49,13.27,14.94
2024-07-23,C002,Generic - Electronics,SEARCH,2917,85,57.18,1,168.12,2.94,0.67,57.18,2.94
2024-07-23,C003,Generic - Home & Garden,SEARCH,3433,131,92.59,3,389.73,3.84,0.71,30.86,4.21
2024-07-23,C004,Shopping - All Products,SHOPPING,5311,119,48.99,2,330.52,2.25,0.41,24.5,6.75
2024-07-23,C005,Display - Retargeting,DISPLAY,13204,69,14.39,0,0.0,0.53,0.21,14.39,0.0
2024-07-23,C006,YouTube - Brand Awareness,VIDEO,7772,78,9.05,0,0.0,1.01,0.12,9.05,0.0
2024-07-24,C001,Brand - Olist,SEARCH,3051,110,47.21,4,564.93,3.63,0.43,11.8,11.97
2024-07-24,C002,Generic - Electronics,SEARCH,2716,95,70.03,3,283.53,3.53,0.74,23.34,4.05
2024-07-24,C003,Generic - Home & Garden,SEARCH,2558,90,57.75,3,737.68,3.54,0.64,19.25,12.77
2024-07-24,C004,Shopping - All Products,SHOPPING,5654,105,41.56,2,186.68,1.86,0.4,20.78,4.49
2024-07-24,C005,Display - Retargeting,DISPLAY,10012,59,13.27,0,0.0,0.59,0.22,13.27,0.0
2024-07-24,C006,YouTube - Brand Awareness,VIDEO,8335,90,10.25,0,0.0,1.08,0.11,10.25,0.0
2024-07-25,C001,Brand - Olist,SEARCH,4455,170,110.06,4,488.46,3.83,0.65,27.52,4.44
2024-07-25,C002,Generic - Electronics,SEARCH,3197,123,51.97,2,173.85,3.86,0.42,25.98,3.35
2024-07-25,C003,Generic - Home & Garden,SEARCH,4246,160,98.24,4,641.96,3.79,0.61,24.56,6.53
2024-07-25,C004,Shopping - All Products,SHOPPING,4501,87,26.83,2,175.4,1.95,0.31,13.41,6.54
2024-07-25,C005,Display - Retargeting,DISPLAY,12946,67,12.34,0,0.0,0.53,0.18,12.34,0.0
2024-07-25,C006,YouTube - Brand Awareness,VIDEO,7794,98,7.39,0,0.0,1.27,0.08,7.39,0.0
2024-07-26,C001,Brand - Olist,SEARCH,3265,120,72.88,4,582.55,3.7,0.61,18.22,7.99
2024-07-26,C002,Generic - Electronics,SEARCH,4468,181,90.15,3,249.29,4.07,0.5,30.05,2.77
2024-07-26,C003,Generic - Home & Garden,SEARCH,2648,99,44.17,3,251.87,3.76,0.45,14.72,5.7
2024-07-26,C004,Shopping - All Products,SHOPPING,6656,121,29.83,3,687.51,1.83,0.25,9.94,23.05
2024-07-26,C005,Display - Retargeting,DISPLAY,15974,89,13.98,0,0.0,0.56,0.16,13.98,0.0
2024-07-26,C006,YouTube - Brand Awareness,VIDEO,13590,157,15.83,0,0.0,1.16,0.1,15.83,0.0
2024-07-27,C001,Brand - Olist,SEARCH,4252,144,105.01,2,466.87,3.4,0.73,52.51,4.45
2024-07-27,C002,Generic - Electronics,SEARCH,3511,138,75.87,3,245.53,3.96,0.55,25.29,3.24
2024-07-27,C003,Generic - Home & Garden,SEARCH,4351,127,69.79,5,887.42,2.93,0.55,13.96,12.72
2024-07-27,C004,Shopping - All Products,SHOPPING,6042,118,33.65,3,623.71,1.96,0.29,11.22,18.54
2024-07-27,C005,Display - Retargeting,DISPLAY,16449,91,12.16,0,0.0,0.56,0.13,12.16,0.0
2024-07-27,C006,YouTube - Brand Awareness,VIDEO,10131,140,13.9,0,0.0,1.39,0.1,13.9,0.0
2024-07-28,C001,Brand - Olist,SEARCH,3748,110,49.67,2,439.43,2.94,0.45,24.84,8.85
2024-07-28,C002,Generic - Electronics,SEARCH,3933,114,51.51,2,286.02,2.91,0.45,25.75,5.55
2024-07-28,C003,Generic - Home & Garden,SEARCH,4156,171,141.45,4,376.78,4.13,0.83,35.36,2.66
2024-07-28,C004,Shopping - All Products,SHOPPING,6531,133,41.77,2,327.49,2.05,0.31,20.89,7.84
2024-07-28,C005,Display - Retargeting,DISPLAY,9895,48,6.21,0,0.0,0.49,0.13,6.21,0.0
2024-07-28,C006,YouTube - Brand Awareness,VIDEO,12050,149,21.49,0,0.0,1.24,0.14,21.49,0.0
2024-07-29,C001,Brand - Olist,SEARCH,2335,96,40.47,1,231.49,4.15,0.42,40.47,5.72
2024-07-29,C002,Generic - Electronics,SEARCH,2846,119,53.22,4,675.71,4.19,0.45,13.3,12.7
2024-07-29,C003,Generic - Home & Garden,SEARCH,3017,113,68.46,3,699.59,3.77,0.61,22.82,10.22
