deal_id,order_id,deal_name,deal_stage,pipeline,amount,create_date,close_date,deal_type,lead_source
DEAL_000001,bfbd0f9bdef84302105ad712db648a6c,Order bfbd0f9b,closed_won,default,35.75,2024-03-30,2024-03-30,new_business,referral
DEAL_000002,3b697a20d9e427646d92567910af6d57,Order 3b697a20,closed_won,default,45.46,2024-04-17,2024-04-17,new_business,organic_search
DEAL_000003,be5bc2f0da14d8071e2d45451ad119d9,Order be5bc2f0,closed_won,default,39.09,2024-04-17,2024-04-17,new_business,organic_search
DEAL_000004,a41c8759fbe7aab36ea07e038b2d4465,Order a41c8759,closed_won,default,53.73,2024-04-17,2024-04-17,new_business,paid_search
DEAL_000005,d207cc272675637bfed0062edffd0818,Order d207cc27,closed_won,default,133.46,2024-04-17,2024-04-17,new_business,paid_search
DEAL_000006,cd3b8574c82b42fc8129f6d502690c3e,Order cd3b8574,closed_won,default,40.95,2024-04-17,2024-04-17,new_business,email
DEAL_000007,ae8a60e4b03c5a4ba9ca0672c164b181,Order ae8a60e4,closed_won,default,154.57,2024-04-17,2024-04-17,new_business,paid_social
DEAL_000008,ef1b29b591d31d57c0d7337460dd83c9,Order ef1b29b5,closed_won,default,92.27,2024-04-17,2024-04-17,new_business,direct
DEAL_000009,0a0837a5eee9e7a9ce2b1fa831944d27,Order 0a0837a5,closed_won,default,65.5,2024-04-18,2024-04-18,new_business,referral
DEAL_000010,1ff217aa612f6cd7c4255c9bfe931c8b,Order 1ff217aa,closed_won,default,44.23,2024-04-18,2024-04-18,new_business,direct
DEAL_000011,ed8c7b1b3eb256c70ce0c74231e1da88,Order ed8c7b1b,closed_won,default,114.77,2024-04-18,2024-04-18,new_business,paid_search
DEAL_000012,c3d9e402b6a0fbe2a5f7fc5b41117c38,Order c3d9e402,closed_won,default,237.45,2024-04-18,2024-04-18,new_business,paid_search
DEAL_000013,46046adea0e222a29259bad3d922fee8,Order 46046ade,closed_won,default,214.98,2024-04-18,2024-04-18,new_business,email
DEAL_000014,80606b26965c5ed21e85a085e0667b63,Order 80606b26,closed_won,default,178.11,2024-04-18,2024-04-18,new_business,email
DEAL_000015,79ffdd52a918bbe867895a4b183d6457,Order 79ffdd52,closed_won,default,319.0,2024-04-18,2024-04-18,new_business,email
DEAL_000016,c4b41c36dd589e901f6879f25a74ec1d,Order c4b41c36,closed_won,default,18.62,2024-04-18,2024-04-18,new_business,paid_social
DEAL_000017,36989eb07a0de2d3d3129eea35553875,Order 36989eb0,closed_won,default,101.44,2024-04-18,2024-04-18,new_business,referral
DEAL_000018,3f72d2b757e725cd48a4726f831c7789,Order 3f72d2b7,closed_won,default,267.49,2024-04-18,2024-04-18,new_business,email
DEAL_000019,f3f12fc90564a9b036680a887cd64668,Order f3f12fc9,closed_won,default,144.94,2024-04-18,2024-04-18,new_business,paid_social
DEAL_000020,5b1376fe61863fe3508011db309e35fe,Order 5b1376fe,closed_won,default,177.28,2024-04-18,2024-04-18,new_business,organic_search
DEAL_000021,63638a6806d67773f3adba8534553fff,Order 63638a68,closed_won,default,86.88,2024-04-18,2024-04-18,new_business,paid_search
DEAL_000022,fbbc9a4fa88f1ccd651790df665b3e57,Order fbbc9a4f,closed_won,default,119.43,2024-04-18,2024-04-18,new_business,organic_search
DEAL_000023,4d66b3a9d12facad48a3b23cc9fe7898,Order 4d66b3a9,closed_won,default,107.41,2024-04-18,2024-04-18,new_business,paid_social
DEAL_000024,22613579f7d11cc59c4347526fc3c79e,Order 22613579,closed_won,default,398.12,2024-04-18,2024-04-18,new_business,paid_social
DEAL_000025,7033745709b7cf1bac7d2533663592de,Order 70337457,closed_won,default,111.51,2024-04-18,2024-04-18,new_business,paid_social
DEAL_000026,35d3a51724a47ef1d0b89911e39cc4ff,Order 35d3a517,closed_won,default,62.33,2024-04-18,2024-04-18,new_business,email
DEAL_000027,356b492aba2d1a7da886e54e0b6212b7,Order 356b492a,closed_won,default,267.49,2024-04-18,2024-04-18,new_business,paid_social
DEAL_000028,60762802b48bb6d256d55b013d115013,Order 60762802,closed_won,default,263.93,2024-04-18,2024-04-18,new_business,referral
DEAL_000029,51725d3e4bdfc97e28b40543310da8a3,Order 51725d3e,closed_won,default,149.54,2024-04-18,2024-04-18,new_business,organic_search
DEAL_000030,83812118bb682267a9880ea1b261ac4b,Order 83812118,closed_won,default,277.81,2024-04-18,2024-04-18,new_business,paid_search
DEAL_000031,a041155864e5141116458291313b35c2,Order a0411558,closed_won,default,117.86,2024-04-18,2024-04-18,new_business,organic_search
DEAL_000032,de1404a068c6c8c909897886a314bad7,Order de1404a0,closed_won,default,87.57,2024-04-18,2024-04-18,new_business,organic_search
DEAL_000033,985db56d4cabd2577d0960194dd2cd5a,Order 985db56d,closed_won,default,154.29,2024-04-18,2024-04-18,new_business,email
DEAL_000034,98974b076b01553d49ee6467905675a7,Order 98974b07,closed_won,default,121.13,2024-04-18,2024-04-18,new_business,organic_search
DEAL_000035,39d0be719247e3b3a38846ba810197ea,Order 39d0be71,closed_won,default,121.01,2024-04-18,2024-04-18,new_business,email
