date,campaign_id,campaign_name,objective,impressions,reach,spend,link_clicks,ctr,cpc,cpm,purchases,purchase_value,cost_per_purchase,roas
2024-07-16,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,16192,10445,112.82,400,2.47,0.28,6.97,21,3415.23,5.37,30.27
2024-07-16,META_C002,Retargeting - Add to Cart,CONVERSIONS,14501,8964,37.69,137,0.94,0.28,2.6,5,568.49,7.54,15.08
2024-07-16,META_C003,Brand Awareness - Video,AWARENESS,16154,11492,92.7,217,1.34,0.43,5.74,4,510.68,23.18,5.51
2024-07-16,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,15315,11433,55.39,136,0.89,0.41,3.62,6,829.81,9.23,14.98
2024-07-16,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,14453,12022,86.72,152,1.05,0.57,6.0,7,984.74,12.39,11.36
2024-07-17,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,5794,4517,22.02,135,2.33,0.16,3.8,4,483.62,5.5,21.96
2024-07-17,META_C002,Retargeting - Add to Cart,CONVERSIONS,14256,11710,34.24,299,2.1,0.11,2.4,6,863.15,5.71,25.21
2024-07-17,META_C003,Brand Awareness - Video,AWARENESS,5978,4702,38.66,130,2.17,0.3,6.47,6,768.96,6.44,19.89
2024-07-17,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,13911,8346,95.61,257,1.85,0.37,6.87,11,1669.26,8.69,17.46
2024-07-17,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,16109,12120,108.85,175,1.09,0.62,6.76,9,1484.81,12.09,13.64
2024-07-18,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,14029,11873,38.73,169,1.2,0.23,2.76,7,1251.24,5.53,32.31
2024-07-18,META_C002,Retargeting - Add to Cart,CONVERSIONS,17555,12528,108.38,344,1.96,0.32,6.17,7,1098.05,15.48,10.13
2024-07-18,META_C003,Brand Awareness - Video,AWARENESS,17603,14907,96.52,200,1.14,0.48,5.48,4,779.27,24.13,8.07
2024-07-18,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,6585,4265,29.1,120,1.82,0.24,4.42,2,382.54,14.55,13.15
2024-07-18,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,16879,11781,75.7,325,1.93,0.23,4.48,9,1220.1,8.41,16.12
2024-07-19,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,9394,6189,43.2,193,2.05,0.22,4.6,9,1180.98,4.8,27.34
2024-07-19,META_C002,Retargeting - Add to Cart,CONVERSIONS,14893,8960,69.85,278,1.87,0.25,4.69,9,1448.2,7.76,20.73
2024-07-19,META_C003,Brand Awareness - Video,AWARENESS,16771,12437,104.61,335,2.0,0.31,6.24,12,1129.48,8.72,10.8
2024-07-19,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,9743,7223,60.67,236,2.42,0.26,6.23,5,859.51,12.13,14.17
2024-07-19,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,10331,7453,64.59,99,0.96,0.65,6.25,3,444.5,21.53,6.88
2024-07-20,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,15322,12902,40.84,300,1.96,0.14,2.67,17,3292.64,2.4,80.62
2024-07-20,META_C002,Retargeting - Add to Cart,CONVERSIONS,14204,10375,45.1,254,1.79,0.18,3.18,11,1758.83,4.1,39.0
2024-07-20,META_C003,Brand Awareness - Video,AWARENESS,14226,10061,83.83,153,1.08,0.55,5.89,2,375.99,41.91,4.49
2024-07-20,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,5803,4644,20.43,136,2.34,0.15,3.52,5,565.56,4.09,27.68
2024-07-20,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,8549,7096,38.05,135,1.58,0.28,4.45,3,343.68,12.68,9.03
2024-07-21,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,13857,10802,51.54,312,2.25,0.17,3.72,17,1831.47,3.03,35.53
2024-07-21,META_C002,Retargeting - Add to Cart,CONVERSIONS,8811,7181,29.54,200,2.27,0.15,3.35,5,677.97,5.91,22.95
2024-07-21,META_C003,Brand Awareness - Video,AWARENESS,10691,8681,43.0,197,1.84,0.22,4.02,7,880.72,6.14,20.48
2024-07-21,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,8016,6060,36.43,131,1.63,0.28,4.55,4,543.36,9.11,14.92
2024-07-21,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,15218,10747,56.2,276,1.81,0.2,3.69,10,1571.9,5.62,27.97
2024-07-22,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,14288,9691,36.61,145,1.01,0.25,2.56,6,594.33,6.1,16.23
2024-07-22,META_C002,Retargeting - Add to Cart,CONVERSIONS,9754,6006,47.86,106,1.09,0.45,4.91,3,576.98,15.95,12.06
2024-07-22,META_C003,Brand Awareness - Video,AWARENESS,10639,8517,72.88,247,2.32,0.3,6.85,6,1175.3,12.15,16.13
2024-07-22,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,15523,12562,38.39,329,2.12,0.12,2.47,15,1484.52,2.56,38.67
2024-07-22,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,7869,6614,37.8,175,2.22,0.22,4.8,2,271.73,18.9,7.19
2024-07-23,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,9759,6708,37.83,106,1.09,0.36,3.88,4,764.53,9.46,20.21
2024-07-23,META_C002,Retargeting - Add to Cart,CONVERSIONS,11516,7767,36.44,282,2.45,0.13,3.16,7,854.03,5.21,23.44
2024-07-23,META_C003,Brand Awareness - Video,AWARENESS,12739,10112,58.42,257,2.02,0.23,4.59,14,1514.16,4.17,25.92
