account_id,seller_id,account_name,city,state,account_type,industry,annual_revenue,num_employees
ACC_00001,3442f8959a84dea7ee197c632cb2df15,Seller 3442f895,campinas,SP,Standard,Health & Beauty,770993.73,46
ACC_00002,d1b65fc7debc3361ea86b5f14c68d2e2,Seller d1b65fc7,mogi guacu,SP,Standard,Home & Garden,724849.64,14
ACC_00003,ce3ad9de960102d0677a81f5d0bb7b2d,Seller ce3ad9de,rio de janeiro,RJ,Premium,Fashion,1304430.05,35
ACC_00004,c0f3eea2e14555b6faeea3dd58c1b1c3,Seller c0f3eea2,sao paulo,SP,Standard,Retail,401431.52,26
ACC_00005,51a04a8a6bdcb23deccc82b0b80742cf,Seller 51a04a8a,braganca paulista,SP,Standard,Home & Garden,1339574.13,46
ACC_00006,c240c4061717ac1806ae6ee72be3533b,Seller c240c406,rio de janeiro,RJ,Premium,Sports,959776.05,15
ACC_00007,e49c26c3edfa46d227d5121a6b6e4d37,Seller e49c26c3,brejao,PE,Standard,Sports,1015265.62,47
ACC_00008,1b938a7ec6ac5061a66a3766e0e75f90,Seller 1b938a7e,penapolis,SP,Standard,Fashion,268289.64,7
ACC_00009,768a86e36ad6aae3d03ee3c6433d61df,Seller 768a86e3,sao paulo,SP,Premium,Retail,212424.07,43
ACC_00010,ccc4bbb5f32a6ab2b7066a4130f114e3,Seller ccc4bbb5,curitiba,PR,Enterprise,Electronics,1162070.18,44
ACC_00011,8cb7c5ddf41f4d506eba76e9a4702a25,Seller 8cb7c5dd,anapolis,GO,Standard,Sports,1201178.16,37
ACC_00012,a7a9b880c49781da66651ccf4ba9ac38,Seller a7a9b880,itirapina,SP,Standard,Health & Beauty,348213.72,15
ACC_00013,8bd0f31cf0a614c658f6763bd02dea69,Seller 8bd0f31c,sao paulo,SP,Premium,Retail,492481.27,30
ACC_00014,05a48cc8859962767935ab9087417fbb,Seller 05a48cc8,sao paulo,SP,Premium,Electronics,213946.44,31
ACC_00015,7b8e8ec35bad4b0ef7e3963650b0a87b,Seller 7b8e8ec3,tubarao,SC,Premium,Health & Beauty,232373.48,4
ACC_00016,1444c08e64d55fb3c25f0f09c07ffcf2,Seller 1444c08e,lauro de freitas,BA,Standard,Electronics,777853.86,13
ACC_00017,166e8f1381e09651983c38b1f6f91c11,Seller 166e8f13,imbituba,SC,Standard,Sports,1977364.59,43
ACC_00018,e38db885400cd35c71dfd162f2c1dbcf,Seller e38db885,brasilia,DF,Enterprise,Sports,1357411.83,24
ACC_00019,d2e753bb80b7d4faa77483ed00edc8ca,Seller d2e753bb,porto seguro,BA,Standard,Health & Beauty,254566.95,13
ACC_00020,f9ec7093df3a7b346b7bcf7864069ca3,Seller f9ec7093,sao paulo,SP,Premium,Home & Garden,1612705.56,40
ACC_00021,4e6015589b781adaa5ce7f1892d06bb1,Seller 4e601558,guaruja,SP,Standard,Health & Beauty,1789690.5,18
ACC_00022,4cf490a58259286ada5ba8525ba9e84a,Seller 4cf490a5,tabatinga,SP,Standard,Health & Beauty,1081206.92,6
ACC_00023,f7496d659ca9fdaf323c0aae84176632,Seller f7496d65,sao paulo,SP,Premium,Health & Beauty,839760.45,14
ACC_00024,2ff97219cb8622eaf3cd89b7d9c09824,Seller 2ff97219,salto,SP,Premium,Electronics,621889.42,36
ACC_00025,8bd0e3abda539b9479c4b44a691be1ec,Seller 8bd0e3ab,tres de maio,RS,Premium,Retail,846999.35,19
ACC_00026,2a1348e9addc1af5aaa619b1a3679d6b,Seller 2a1348e9,belo horizonte,MG,Standard,Home & Garden,1895391.21,20
ACC_00027,2078fe5066350e7d220c0ad3a3bbc6c1,Seller 2078fe50,arapongas,PR,Premium,Home & Garden,1587685.08,28
ACC_00028,116ccb1a1604bc88e4d234a8c23f33de,Seller 116ccb1a,sao bernardo do campo,SP,Standard,Sports,1058233.24,14
ACC_00029,430315b7bb4b6e4b3c978f9dfa9b0558,Seller 430315b7,sao paulo,SP,Premium,Fashion,742275.05,41
ACC_00030,406822777a0b9eb5c50e442dd4cd3ec5,Seller 40682277,tatui,SP,Standard,Home & Garden,1914728.99,11
ACC_00031,4dbd95a08b31ede5c82d3f861cb1ce1a,Seller 4dbd95a0,curitiba,PR,Enterprise,Home & Garden,1900952.07,16
ACC_00032,e9e446d01bd10a97a8ffcfc4a3a20cb2,Seller e9e446d0,sao paulo,SP,Standard,Electronics,1650327.97,45
ACC_00033,d52cbce9845184537284a23c3bc3da0e,Seller d52cbce9,garopaba,SC,Standard,Fashion,1221191.22,33
ACC_00034,d9a84e1403de8da0c3aa531d6d108ba6,Seller d9a84e14,sao paulo,SP,Premium,Home & Garden,448022.74,49
ACC_00035,9c690ceacd5c66731bf443ea810195cb,Seller 9c690cea,camanducaia,MG,Standard,Electronics,1924765.33,6
ACC_00036,1f9ab4708f3056ede07124aad39a2554,Seller 1f9ab470,tupa,SP,Standard,Electronics,1622835.46,39
ACC_00037,1961c3e1272bfeceb05d0b78b5bbfdaf,Seller 1961c3e1,guarulhos,SP,Standard,Electronics,1008213.44,30
ACC_00038,d3e7d37c0df9aef383f3f2a15b0dddfb,Seller d3e7d37c,sao jose dos pinhais,PR,Standard,Home & Garden,1639423.39,4
ACC_00039,ec2e006556300a79a5a91e4876ab3a56,Seller ec2e0065,sao paulo,SP,Standard,Retail,121728.9,43
ACC_00040,b2a6d334e2833acea353624840e25a0e,Seller b2a6d334,sao paulo,SP,Standard,Health & Beauty,884770.86,2
ACC_00041,d3674f271c91f824f82d24d92011f669,Seller d3674f27,brasilia,DF,Standard,Sports,1085614.62,25
ACC_00042,768de2a4fc06aacecb9a586ccc30746a,Seller 768de2a4,brasilia,DF,Standard,Home & Garden,887058.83,45
ACC_00043,a81466620e46a6970b22ef40379fdfc9,Seller a8146662,sao ludgero,SC,Standard,Health & Beauty,66775.77,13
ACC_00044,5c030029b5916fed0986310385ec9009,Seller 5c030029,sao jose,SC,Premium,Sports,104074.72,39
ACC_00045,c0f783394e37cd9c9d7f5f81141450fa,Seller c0f78339,piracicaba,SP,Standard,Electronics,323979.9,46
ACC_00046,c353f8fc0ce8344999f17d578eb69a5e,Seller c353f8fc,porto alegre,RS,Standard,Home & Garden,1087160.2,20
ACC_00047,8444e55c1f13cd5c179851e5ca5ebd00,Seller 8444e55c,congonhal,MG,Premium,Electronics,166934.8,11
ACC_00048,28a26ebce31d5918b181ede016fd693b,Seller 28a26ebc,belo horizonte,MG,Standard,Fashion,1251540.68,43
ACC_00049,41ab63a91b8b264e8c8780368bf1dd5b,Seller 41ab63a9,belo horizonte,MG,Standard,Fashion,1800197.59,30
ACC_00050,8759e7aedd644f487315e5860962f162,Seller 8759e7ae,santo andre,SP,Standard,Sports,1145911.93,31
ACC_00051,e546117ed9cafbc40239c0c78635c584,Seller e546117e,sao paulo,SP,Premium,Home & Garden,1405297.81,31
ACC_00052,d71d863e5ef30d94e440c11be17dcd8f,Seller d71d863e,osasco,SP,Standard,Health & Beauty,1108849.65,8
ACC_00053,0c7533c71df861ec58ad7ff999ed0e8d,Seller 0c7533c7,valinhos,SP,Premium,Retail,652693.25,25
ACC_00054,ef990a83bbea832f36ebe81376335aa8,Seller ef990a83,joinville,SC,Standard,Fashion,1951724.67,1
ACC_00055,41e0fa5761c886a630994a55c12087e7,Seller 41e0fa57,guaruja,SP,Standard,Home & Garden,571571.39,13
ACC_00056,0747d5bb69f0586cc869d8af4c50f93e,Seller 0747d5bb,saquarema,RJ,Standard,Fashion,1198388.88,42
ACC_00057,7d294cf9a6a69dc6a0c3e540fff0e039,Seller 7d294cf9,barra velha,SC,Standard,Electronics,1061741.11,42
ACC_00058,c89cf7c468a48af70aada384e722f9e2,Seller c89cf7c4,petropolis,RJ,Standard,Sports,654636.95,44
ACC_00059,b7ba853e9551f4558440881fd3e5c815,Seller b7ba853e,santo antonio da patrulha,RS,Standard,Fashion,1382371.03,16
ACC_00060,13c2ed7698b3ca92dad49e849219da59,Seller 13c2ed76,ponta grossa,PR,Standard,Home & Garden,1532487.25,19
ACC_00061,cbbd5ae8f53de5f5097cd8217b529e24,Seller cbbd5ae8,santana de parnaiba,SP,Standard,Fashion,772542.18,2
ACC_00062,02ecc2a19303f05e59ce133fd923fff7,Seller 02ecc2a1,santo andre,SP,Premium,Fashion,1960268.79,18
ACC_00063,c013e57c075a06e5b5c48ee03c525719,Seller c013e57c,sao carlos,SP,Premium,Fashion,880642.82,37
ACC_00064,55f7a3319d80f7fdf078b8f03e6725fe,Seller 55f7a331,osasco,SP,Standard,Electronics,465250.97,2
ACC_00065,2d50d6282f8aa2257819a77bfaa0efe0,Seller 2d50d628,ibitinga,SP,Standard,Health & Beauty,1950186.12,28
ACC_00066,b7e1750c1157341d2abd0251e07c186b,Seller b7e1750c,sao paulo,SP,Standard,Sports,1213131.43,9
ACC_00067,b90e891671cffd9557f33a97dc523645,Seller b90e8916,sao jose dos pinhais,PR,Standard,Home & Garden,1270106.23,25
ACC_00068,a416b6a846a11724393025641d4edd5e,Seller a416b6a8,sao paulo,SP,Standard,Retail,342039.86,1
ACC_00069,7e93a43ef30c4f03f38b393420bc753a,Seller 7e93a43e,barueri,SP,Standard,Home & Garden,1232539.52,43
ACC_00070,5206cc4bc2297c833e6061c49bf9c43f,Seller 5206cc4b,osasco,SP,Standard,Sports,470643.29,19
