opportunity_id,order_id,opportunity_name,stage,probability,amount,created_date,close_date,lead_source,type,fiscal_quarter,expected_revenue
OPP_000001,bfbd0f9bdef84302105ad712db648a6c,Deal bfbd0f9b,Closed Won,1.0,239.64,2024-03-30,2024-03-30,Email,New Business,Q3 2016,239.64
OPP_000002,3b697a20d9e427646d92567910af6d57,Deal 3b697a20,Closed Won,1.0,45.46,2024-04-04,2024-04-17,Email,New Business,Q4 2016,45.46
OPP_000003,be5bc2f0da14d8071e2d45451ad119d9,Deal be5bc2f0,Closed Won,1.0,39.09,2024-04-07,2024-04-17,Referral,New Business,Q4 2016,39.09
OPP_000004,a41c8759fbe7aab36ea07e038b2d4465,Deal a41c8759,Closed Won,1.0,53.73,2024-04-10,2024-04-17,Referral,New Business,Q4 2016,53.73
OPP_000005,d207cc272675637bfed0062edffd0818,Deal d207cc27,Closed Won,1.0,133.46,2024-04-05,2024-04-17,Direct,New Business,Q4 2016,133.46
OPP_000006,cd3b8574c82b42fc8129f6d502690c3e,Deal cd3b8574,Closed Won,1.0,40.95,2024-04-13,2024-04-17,Web,New Business,Q4 2016,40.95
OPP_000007,ae8a60e4b03c5a4ba9ca0672c164b181,Deal ae8a60e4,Closed Won,1.0,154.57,2024-04-08,2024-04-17,Web,New Business,Q4 2016,154.57
OPP_000008,ef1b29b591d31d57c0d7337460dd83c9,Deal ef1b29b5,Closed Won,1.0,92.27,2024-04-12,2024-04-17,Web,New Business,Q4 2016,92.27
OPP_000009,0a0837a5eee9e7a9ce2b1fa831944d27,Deal 0a0837a5,Closed Won,1.0,65.5,2024-04-05,2024-04-18,Direct,New Business,Q4 2016,65.5
OPP_000010,1ff217aa612f6cd7c4255c9bfe931c8b,Deal 1ff217aa,Closed Won,1.0,44.23,2024-04-08,2024-04-18,Direct,New Business,Q4 2016,44.23
OPP_000011,ed8c7b1b3eb256c70ce0c74231e1da88,Deal ed8c7b1b,Closed Won,1.0,114.77,2024-04-14,2024-04-18,Web,New Business,Q4 2016,114.77
OPP_000012,c3d9e402b6a0fbe2a5f7fc5b41117c38,Deal c3d9e402,Closed Won,1.0,237.45,2024-04-06,2024-04-18,Paid Search,New Business,Q4 2016,237.45
OPP_000013,46046adea0e222a29259bad3d922fee8,Deal 46046ade,Closed Won,1.0,214.98,2024-04-09,2024-04-18,Social Media,New Business,Q4 2016,214.98
OPP_000014,80606b26965c5ed21e85a085e0667b63,Deal 80606b26,Closed Won,1.0,178.11,2024-04-09,2024-04-18,Direct,New Business,Q4 2016,178.11
OPP_000015,79ffdd52a918bbe867895a4b183d6457,Deal 79ffdd52,Closed Won,1.0,319.0,2024-04-15,2024-04-18,Email,New Business,Q4 2016,319.0
OPP_000016,c4b41c36dd589e901f6879f25a74ec1d,Deal c4b41c36,Closed Won,1.0,18.62,2024-04-09,2024-04-18,Social Media,New Business,Q4 2016,18.62
OPP_000017,36989eb07a0de2d3d3129eea35553875,Deal 36989eb0,Closed Won,1.0,101.44,2024-04-13,2024-04-18,Paid Search,New Business,Q4 2016,101.44
OPP_000018,3f72d2b757e725cd48a4726f831c7789,Deal 3f72d2b7,Closed Won,1.0,267.49,2024-04-05,2024-04-18,Paid Search,New Business,Q4 2016,267.49
OPP_000019,f3f12fc90564a9b036680a887cd64668,Deal f3f12fc9,Closed Won,1.0,144.94,2024-04-13,2024-04-18,Referral,New Business,Q4 2016,144.94
OPP_000020,5b1376fe61863fe3508011db309e35fe,Deal 5b1376fe,Closed Won,1.0,177.28,2024-04-09,2024-04-18,Referral,New Business,Q4 2016,177.28
OPP_000021,63638a6806d67773f3adba8534553fff,Deal 63638a68,Closed Won,1.0,86.88,2024-04-14,2024-04-18,Web,New Business,Q4 2016,86.88
OPP_000022,fbbc9a4fa88f1ccd651790df665b3e57,Deal fbbc9a4f,Closed Won,1.0,119.43,2024-04-11,2024-04-18,Email,New Business,Q4 2016,119.43
OPP_000023,4d66b3a9d12facad48a3b23cc9fe7898,Deal 4d66b3a9,Closed Won,1.0,107.41,2024-04-17,2024-04-18,Referral,New Business,Q4 2016,107.41
OPP_000024,22613579f7d11cc59c4347526fc3c79e,Deal 22613579,Closed Won,1.0,398.12,2024-04-05,2024-04-18,Social Media,New Business,Q4 2016,398.12
OPP_000025,7033745709b7cf1bac7d2533663592de,Deal 70337457,Closed Won,1.0,111.51,2024-04-10,2024-04-18,Web,New Business,Q4 2016,111.51
OPP_000026,35d3a51724a47ef1d0b89911e39cc4ff,Deal 35d3a517,Closed Won,1.0,62.33,2024-04-18,2024-04-18,Paid Search,New Business,Q4 2016,62.33
OPP_000027,356b492aba2d1a7da886e54e0b6212b7,Deal 356b492a,Closed Won,1.0,267.49,2024-04-09,2024-04-18,Paid Search,New Business,Q4 2016,267.49
OPP_000028,60762802b48bb6d256d55b013d115013,Deal 60762802,Closed Won,1.0,263.93,2024-04-12,2024-04-18,Direct,New Business,Q4 2016,263.93
OPP_000029,51725d3e4bdfc97e28b40543310da8a3,Deal 51725d3e,Closed Won,1.0,149.54,2024-04-11,2024-04-18,Email,New Business,Q4 2016,149.54
OPP_000030,83812118bb682267a9880ea1b261ac4b,Deal 83812118,Closed Won,1.0,277.81,2024-04-12,2024-04-18,Direct,New Business,Q4 2016,277.81
OPP_000031,a041155864e5141116458291313b35c2,Deal a0411558,Closed Won,1.0,117.86,2024-04-08,2024-04-18,Referral,New Business,Q4 2016,117.86
OPP_000032,de1404a068c6c8c909897886a314bad7,Deal de1404a0,Closed Won,1.0,87.57,2024-04-16,2024-04-18,Paid Search,New Business,Q4 2016,87.57
OPP_000033,985db56d4cabd2577d0960194dd2cd5a,Deal 985db56d,Closed Won,1.0,154.29,2024-04-08,2024-04-18,Paid Search,New Business,Q4 2016,154.29
OPP_000034,98974b076b01553d49ee6467905675a7,Deal 98974b07,Closed Won,1.0,121.13,2024-04-09,2024-04-18,Referral,New Business,Q4 2016,121.13
OPP_000035,39d0be719247e3b3a38846ba810197ea,Deal 39d0be71,Closed Won,1.0,121.01,2024-04-14,2024-04-18,Web,New Business,Q4 2016,121.01
OPP_000036,d2292ff2201e74c5db154d1b7ae68cbb,Deal d2292ff2,Closed Won,1.0,61.64,2024-04-10,2024-04-18,Direct,New Business,Q4 2016,61.64
